sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
NTC	122	93	92	92	92	92
PAC	233665	208789	208710	208774	207862	207862
Site1_1	113574	95116	93792	94062	91833	91509
Site1_2	345542	304224	302833	302932	300374	297741
Site1_3	234783	209588	208573	208518	206970	205834
Site2_1	133725	106577	105276	105655	103422	102885
Site2_2	107793	88697	87405	87734	85711	85173
Site2_3	268201	237700	236117	236131	232517	230817
Site3_1	4	2	2	2	2	2
Site3_2	225817	199024	197932	197898	178560	177474
Site3_3	125462	98348	97012	97505	94781	94055
Site4_1	135554	121307	119963	120011	117378	116580
Site4_2	22132	19345	19032	19009	18629	18588
Site4_3	373970	328260	325778	325539	305488	302636
XB	6827	6064	6062	6063	5913	5913
